run_id,iteration,warmup,adapter,elapsed_s,device_count,resource_count,resources_read,read_error_count,metrics_count,mapped_metric_count,unmapped_metric_count,alarms_count,active_alarms_count,snapshot_build_ms,list_resources_ms,read_resources_ms,read_health_ms,total_ms,health_status,health_mode,tools_exported,write_operations_allowed
spo2-drop-v07-run1-20260521T174701_564969Z,4,False,simulated,24.0,1,8,8,0,3,3,0,2,0,2.347000001464039,0.024800014216452837,2.3401000071316957,0.2269999822601676,4.938900005072355,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,5,False,simulated,25.0,1,8,8,0,3,3,0,2,0,3.104900009930134,0.01889999839477241,1.9757999980356544,0.2474999928381294,5.34709999919869,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,6,False,simulated,26.0,1,8,8,0,3,3,0,2,0,2.123699989169836,0.016400008462369442,1.9043000065721571,0.31869998201727867,4.363099986221641,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,7,False,simulated,27.0,1,8,8,0,3,3,0,2,0,2.098799974191934,0.01810002140700817,1.9099999917671084,0.30670000705868006,4.3335999944247305,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,8,False,simulated,28.0,1,8,8,0,3,3,0,2,0,3.9846999861765653,0.023900007363408804,2.5277999811805785,0.31200001831166446,6.848399993032217,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,9,False,simulated,29.0,1,8,8,0,3,3,0,2,0,2.154399990104139,0.01650000922381878,1.9014999852515757,0.20670000230893493,4.279099986888468,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,10,False,simulated,30.0,1,8,8,0,3,3,0,2,0,2.2480000043287873,0.017400016076862812,2.1727999846916646,0.24930000654421747,4.687500011641532,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,11,False,simulated,31.0,1,8,8,0,3,3,0,2,0,2.3450999869965017,0.01960000372491777,3.0230999982450157,0.3133999998681247,5.70119998883456,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,12,False,simulated,32.0,1,8,8,0,3,3,0,2,0,2.6301000034436584,0.02819998189806938,2.464400022290647,0.24699998903088272,5.3696999966632575,ok,read-only,False,False
spo2-drop-v07-run1-20260521T174701_564969Z,13,False,simulated,33.0,1,8,8,0,3,3,0,2,0,2.2301000135485083,0.01659998088143766,1.8575000285636634,0.19619998056441545,4.300400003558025,ok,read-only,False,False
