run_id,iteration,warmup,adapter,elapsed_s,device_count,resource_count,resources_read,read_error_count,metrics_count,mapped_metric_count,unmapped_metric_count,alarms_count,active_alarms_count,snapshot_build_ms,list_resources_ms,read_resources_ms,read_health_ms,total_ms,health_status,health_mode,tools_exported,write_operations_allowed
baseline-v07-run2-20260521T174652_045989Z,4,False,simulated,24.0,2,12,12,0,6,6,0,3,0,4.225299984682351,0.023300002794712782,3.0925000028219074,0.2494000073056668,7.590499997604638,ok,read-only,False,False
baseline-v07-run2-20260521T174652_045989Z,5,False,simulated,25.0,2,12,12,0,6,6,0,3,0,3.0664000078104436,0.019800005247816443,2.470199979143217,0.27650000993162394,5.832900002133101,ok,read-only,False,False
baseline-v07-run2-20260521T174652_045989Z,6,False,simulated,26.0,2,12,12,0,6,6,0,3,0,4.1176999802701175,0.02370000584051013,5.017599993152544,0.5073000211268663,9.666300000390038,ok,read-only,False,False
baseline-v07-run2-20260521T174652_045989Z,7,False,simulated,27.0,2,12,12,0,6,6,0,3,0,3.563799982657656,0.025699991965666413,2.872600016416982,0.2415000053588301,6.703599996399134,ok,read-only,False,False
baseline-v07-run2-20260521T174652_045989Z,8,False,simulated,28.0,2,12,12,0,6,6,0,3,0,3.138200001558289,0.02090001362375915,5.001599987735972,0.2401999954599887,8.400899998378009,ok,read-only,False,False
baseline-v07-run2-20260521T174652_045989Z,9,False,simulated,29.0,2,12,12,0,6,6,0,3,0,3.3894999942276627,0.022000021999701858,3.2715999986976385,0.22499999613501132,6.908100011060014,ok,read-only,False,False
baseline-v07-run2-20260521T174652_045989Z,10,False,simulated,30.0,2,12,12,0,6,6,0,3,0,3.0889000045135617,0.020000006770715117,3.587199986213818,0.5902000120840967,7.286300009582192,ok,read-only,False,False
baseline-v07-run2-20260521T174652_045989Z,11,False,simulated,31.0,2,12,12,0,6,6,0,3,0,3.7505000072997063,0.023900007363408804,3.4428999933879822,0.22159999934956431,7.438900007400662,ok,read-only,False,False
baseline-v07-run2-20260521T174652_045989Z,12,False,simulated,32.0,2,12,12,0,6,6,0,3,0,3.7653000035788864,0.027900008717551827,3.505999979097396,0.7831999973859638,8.082399988779798,ok,read-only,False,False
baseline-v07-run2-20260521T174652_045989Z,13,False,simulated,33.0,2,12,12,0,6,6,0,3,0,3.5561000113375485,0.028499984182417393,3.2287999929394573,0.20680000307038426,7.0201999915298074,ok,read-only,False,False
