file,run_id,status,adapter,mapping_version,iterations,warmup,device_count,resource_count,metrics_count,alarms_count,active_alarm_count_last,active_alarm_count_max,active_alarm_seen_any,read_error_count_total,all_read_only,tools_exported_any,write_operations_allowed_any,snapshot_build_min_ms,snapshot_build_median_ms,snapshot_build_mean_ms,snapshot_build_p95_ms,snapshot_build_max_ms,list_resources_min_ms,list_resources_median_ms,list_resources_mean_ms,list_resources_p95_ms,list_resources_max_ms,read_resources_min_ms,read_resources_median_ms,read_resources_mean_ms,read_resources_p95_ms,read_resources_max_ms,read_health_min_ms,read_health_median_ms,read_health_mean_ms,read_health_p95_ms,read_health_max_ms,total_min_ms,total_median_ms,total_mean_ms,total_p95_ms,total_max_ms
baseline-v07-run1-20260521T174650_104582Z.summary.json,baseline-v07-run1-20260521T174650_104582Z,ok,simulated,0.7-example,200,20,2,12,6,3,0,0,False,0,True,False,False,3.003,3.654,3.776,4.519,10.444,0.016,0.022,0.024,0.032,0.179,2.083,3.186,3.347,4.364,8.95,0.163,0.255,0.272,0.397,0.727,5.311,7.254,7.419,8.786,14.197
baseline-v07-run2-20260521T174652_045989Z.summary.json,baseline-v07-run2-20260521T174652_045989Z,ok,simulated,0.7-example,200,20,2,12,6,3,0,0,False,0,True,False,False,2.957,3.478,3.657,4.441,13.044,0.02,0.024,0.026,0.031,0.15,2.427,3.267,3.385,4.425,5.018,0.175,0.269,0.29,0.468,1.044,5.778,7.131,7.358,8.603,16.639
baseline-v07-run3-20260521T174653_971909Z.summary.json,baseline-v07-run3-20260521T174653_971909Z,ok,simulated,0.7-example,200,20,2,12,6,3,0,0,False,0,True,False,False,2.932,3.495,3.729,4.843,11.435,0.016,0.021,0.024,0.03,0.209,2.142,3.202,3.368,4.305,12.664,0.166,0.257,0.299,0.42,4.137,5.45,7.164,7.421,10.091,16.778
