file,run_id,status,adapter,mapping_version,iterations,warmup,device_count,resource_count,metrics_count,alarms_count,active_alarm_count_last,active_alarm_count_max,active_alarm_seen_any,read_error_count_total,all_read_only,tools_exported_any,write_operations_allowed_any,snapshot_build_min_ms,snapshot_build_median_ms,snapshot_build_mean_ms,snapshot_build_p95_ms,snapshot_build_max_ms,list_resources_min_ms,list_resources_median_ms,list_resources_mean_ms,list_resources_p95_ms,list_resources_max_ms,read_resources_min_ms,read_resources_median_ms,read_resources_mean_ms,read_resources_p95_ms,read_resources_max_ms,read_health_min_ms,read_health_median_ms,read_health_mean_ms,read_health_p95_ms,read_health_max_ms,total_min_ms,total_median_ms,total_mean_ms,total_p95_ms,total_max_ms
airway-pressure-v07-run1-20260521T174706_226567Z.summary.json,airway-pressure-v07-run1-20260521T174706_226567Z,ok,simulated,0.7-example,200,20,1,8,3,1,1,1,True,0,True,False,False,1.794,2.214,2.354,3.277,4.647,0.012,0.017,0.019,0.026,0.181,1.392,2.201,2.282,3.257,4.722,0.147,0.259,0.287,0.476,1.381,3.418,4.787,4.942,6.192,9.696
airway-pressure-v07-run2-20260521T174707_648142Z.summary.json,airway-pressure-v07-run2-20260521T174707_648142Z,ok,simulated,0.7-example,200,20,1,8,3,1,1,1,True,0,True,False,False,1.882,2.174,2.348,3.061,7.357,0.013,0.017,0.018,0.024,0.038,1.337,2.176,2.255,2.987,4.037,0.152,0.257,0.279,0.438,1.216,3.541,4.796,4.901,5.927,10.707
airway-pressure-v07-run3-20260521T174709_078819Z.summary.json,airway-pressure-v07-run3-20260521T174709_078819Z,ok,simulated,0.7-example,200,20,1,8,3,1,1,1,True,0,True,False,False,2.111,2.501,2.59,3.164,5.035,0.017,0.021,0.023,0.028,0.228,1.403,2.455,2.515,3.288,4.829,0.16,0.293,0.324,0.472,2.959,3.792,5.44,5.452,6.405,7.774
