file,run_id,status,adapter,mapping_version,iterations,warmup,device_count,resource_count,metrics_count,alarms_count,active_alarm_count_last,active_alarm_count_max,active_alarm_seen_any,read_error_count_total,all_read_only,tools_exported_any,write_operations_allowed_any,snapshot_build_min_ms,snapshot_build_median_ms,snapshot_build_mean_ms,snapshot_build_p95_ms,snapshot_build_max_ms,list_resources_min_ms,list_resources_median_ms,list_resources_mean_ms,list_resources_p95_ms,list_resources_max_ms,read_resources_min_ms,read_resources_median_ms,read_resources_mean_ms,read_resources_p95_ms,read_resources_max_ms,read_health_min_ms,read_health_median_ms,read_health_mean_ms,read_health_p95_ms,read_health_max_ms,total_min_ms,total_median_ms,total_mean_ms,total_p95_ms,total_max_ms
spo2-drop-v07-run1-20260521T174701_564969Z.summary.json,spo2-drop-v07-run1-20260521T174701_564969Z,ok,simulated,0.7-example,200,20,1,8,3,2,1,1,True,0,True,False,False,2.011,2.394,2.52,3.074,6.743,0.016,0.019,0.019,0.025,0.064,1.688,2.181,2.254,2.925,3.98,0.189,0.259,0.273,0.42,0.651,4.135,4.955,5.066,6.114,9.094
spo2-drop-v07-run2-20260521T174703_013550Z.summary.json,spo2-drop-v07-run2-20260521T174703_013550Z,ok,simulated,0.7-example,200,20,1,8,3,2,1,1,True,0,True,False,False,2.085,2.381,2.488,3.114,7.412,0.015,0.018,0.02,0.027,0.114,1.668,2.157,2.218,2.808,3.976,0.158,0.253,0.267,0.379,0.7,4.063,4.868,4.994,5.813,10.026
spo2-drop-v07-run3-20260521T174704_445475Z.summary.json,spo2-drop-v07-run3-20260521T174704_445475Z,ok,simulated,0.7-example,200,20,1,8,3,2,1,1,True,0,True,False,False,2.09,2.44,2.545,3.256,4.542,0.015,0.019,0.02,0.027,0.063,1.55,2.167,2.33,3.266,8.382,0.169,0.264,0.286,0.424,0.979,3.913,5.01,5.18,6.321,12.083
